ID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Reference,Flaechengewicht (kg/m2),Density (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil,GWPtotal
8a7fa8ca-ad3c-4565-94fd-1c3ad0442f63,TOP DESIGN 1100 ECO - tufted carpet,'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge','DIN EN 15804+A2' / 'ISO 14025',RER,Balsan Moquette,EPD-BAL-20220238-CCA1-EN,1,qm,2.13,284.0,0.0075,,,,,,5.111,,,0.129,0.91499,0.0,0.4156,,,,,,0.0,0.007229,3.956,0.1494,-0.1714892,14.635997,10.683219
ffded44d-4ec9-4836-8489-f6d85928789c,TOPIQ Efficient pro,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230241-IBA1-EN,1,qm,3.19,140.0,0.02,,,,,,4.5887997,,,,,,,,,,,,0.0,0.0096739,0.0,0.0463199,-0.4296856,5.0705927,4.6447935
222d1566-73e0-4d87-b9f5-da76205c568e,TOPIQ Efficient pro Hygena,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230240-IBA1-EN,1,qm,3.19,140.0,0.02,,,,,,4.5887997,,,,,,,,,,,,0.0,0.0096739,0.0,0.0463199,-0.4296856,5.0705927,4.6447935
c1d70224-ea9b-48f8-bfc1-332b0037d9ee,TOPIQ Prime ? Board,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230244-IBA1-EN,1,qm,2.04,110.0,0.015,,,,,,3.1899084,,,,,,,,,,,,0.0,0.0061897,0.0,0.0296372,-0.2818643,3.5051239,3.2257353
7191c6f1-8e84-4c96-b0aa-18a13bd2942b,TOPIQ Prime ? Tegular,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230155-IBA1-EN,1,qm,2.49,140.0,0.015,,,,,,3.7454466,,,,,,,,,,,,0.0,0.0075531,0.0,0.0361652,-0.340558,4.1266872,3.7891649
18567813-d660-4524-bec0-276e8d1440fe,TOPIQ Prime Hygena ? Board,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230242-IBA1-EN,1,qm,2.04,110.0,0.015,,,,,,3.1899084,,,,,,,,,,,,0.0,0.0061897,0.0,0.0296372,-0.2818643,3.5051239,3.2257353
8ae72b93-59c6-4486-9228-03593a79e7c6,TOPIQ Prime Hygena ? Tegular,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Deckenplatten','DIN EN 15804+A2' / 'ISO 14025',DE,Knauf Ceiling Solutions GmbH & Co. KG,EPD-KNA-20230243-IBA1-EN,1,qm,2.49,140.0,0.015,,,,,,3.7454466,,,,,,,,,,,,0.0,0.0075531,0.0,0.0361652,-0.340558,4.1266872,3.7891649
770c6ffb-fbdf-4c61-810b-20bcf2f8fbd6,TPO/FPO Dach-und Dichtungsbahn,'Kunststoffe' / 'Dachbahnen' / 'TPO-Dachbahnen (FPO)','DIN EN 15804+A2' / 'ISO 14025',RER,KÖSTER BAUCHEMIE AG,EPD-KBC-20210162-IBC1-DE,1,qm,1.505,1.505,0.0015,,,1.505,,,1.6102,,,0.00921,0.0667,,,,,,,,0.0,0.0227,0.00338,,0.0257596,6.40716,1.71219
6692491d-3b1d-4a73-8057-2bb5dcfdf6f4,TRM-Tiroler Rohre Piling systems Typ 118 - 10.6,'Metalle' / 'Stahl und Eisen' / 'Guss- und Schmiedeteile aus Stahl und Eisen','EN 15804+A2' / 'ISO 14025',AT,TRM-Tiroler Rohre GmbH,Bau EPD-TRM- 2022-1-ECOINVENT-Pfahlsysteme,1,m,,,,27.96,,,,,27.13,,,2.14,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.46,0.67,0.00443,1.450636,317.31244,33.36443
ac1792fd-68bb-4344-b9d8-dd33b7e48be0,TS 68/TS 69,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',CN,dormakaba International Holding GmbH,EPD-DOR-20220088-CBA8-EN,1,pcs.,,,,,2.07,,,,14.57,,,0.339,0.193,,,,,,,,0.0,0.008,0.246,0.001,-0.0086184,15.358,15.357
